Nom de l'entreprise Latin alphabet,Dernière année disp.,EffectifsDernière année disp.,EffectifsAnnée - 1,EffectifsAnnée - 2,Dernière mise à jour - Statut...,Forme juridique nationale,Statut juridique standardisé,Code d'identifiant,Libellé d'identifiant,Extraction,Date de clôtureDate of the last available value for Effectifs,derniers_effectifs,effectifs_22_23_sup_5000,derniers_effectifs_sup_5000,SIREN
AIRBUS HELICOPTERS,2022,8662,8354,8374,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,352383715-00021,SIRET number,22 août,,8662,,TRUE,352383715
AKWEL SA,2023,9632,9405,9661,"",Société Anonyme,Sociétés anonymes,344844998-00023,SIRET number,22 août,,9632,1,TRUE,344844998
ALTRAN TECHNOLOGIES,2023,,,9325,10/2022,SASU,Sociétés à responsabilité limitée,702012956-00935,SIRET number,22 août,,9325,,TRUE,702012956
AMAZON FRANCE LOGISTIQUE SAS,2023,,,9882,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,428785042-00105,SIRET number,22 août,,9882,,TRUE,428785042
ARCELORMITTAL FRANCE,2022,7167,7119,7488,08/2023,Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,562094425-00427,SIRET number,22 août,,7167,,TRUE,562094425
ARKEMA FRANCE,2023,5645,5601,5536,"",SA,Sociétés anonymes,319632790-00857,SIRET number,22 août,,5645,1,TRUE,319632790
ASSYSTEM,2023,7207,6401,7041,"",Société Anonyme,Sociétés anonymes,412076937-00058,SIRET number,22 août,,7207,1,TRUE,412076937
ATOS FRANCE,2022,,5754,4050,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,408024719-00572,SIRET number,22 août,,5754,,TRUE,408024719
AUBAY,2023,7779,7819,7306,"",Société Anonyme,Sociétés anonymes,391504693-00063,SIRET number,22 août,,7779,1,TRUE,391504693
AVRIL,2022,7540,7894,7740,"",SCA,Partenariats,799403050-00013,SIRET number,22 août,,7540,,TRUE,799403050
AXIMA CONCEPT,2023,,,6094,"",SA,Sociétés anonymes,854800745-01737,SIRET number,22 août,,6094,,TRUE,854800745
BENETEAU,2023,8130,7884,7482,"",Société Anonyme,Sociétés anonymes,487080194-00151,SIRET number,22 août,,8130,1,TRUE,487080194
BONDUELLE,2023,8363,11171,10956,"",Société Anonyme,Sociétés anonymes,447250044-00016,SIRET number,22 août,,8363,1,TRUE,447250044
BOUYGUES TELECOM,2023,,6624,6312,05/2023,SA,Sociétés anonymes,397480930-03498,SIRET number,22 août,,6624,,TRUE,397480930
BUT INTERNATIONAL,2023,,,7122,07/2024,SASU,Sociétés à responsabilité limitée,722041860-00031,SIRET number,22 août,,7122,,TRUE,722041860
CARREFOUR SUPPLY CHAIN,2022,8153,8312,,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,428240287-00014,SIRET number,22 août,,8153,,TRUE,428240287
CEGEDIM,2023,6582,6073,5643,"",Société Anonyme,Sociétés anonymes,350422622-00166,SIRET number,22 août,,6582,1,TRUE,350422622
CLARINS,2023,7195,,7196,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,330589755-00058,SIRET number,22 août,,7195,,TRUE,330589755
CLINEA,2022,9230,,,07/2023,SASU,Sociétés à responsabilité limitée,301160750-00966,SIRET number,22 août,,9230,,TRUE,301160750
CLUB MED,2023,5009,4691,5850,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,572185684-01087,SIRET number,22 août,,5009,,TRUE,572185684
COMPAGNIE DES ALPES,2023,6448,6469,5168,"",Société Anonyme,Sociétés anonymes,349577908-00065,SIRET number,22 août,,6448,1,TRUE,349577908
CONFORAMA FRANCE,2023,6320,6428,6672,07/2024,SASU,Sociétés à responsabilité limitée,414819409-00023,SIRET number,22 août,,6320,1,TRUE,414819409
COOPERATIVE U,2022,8347,,,"",SA,Sociétés anonymes,304602956-00142,SIRET number,22 août,,8347,,TRUE,304602956
DAHER AEROSPACE,2022,,,5403,"",SA,Sociétés anonymes,597020841-01253,SIRET number,22 août,,5403,,TRUE,597020841
DECATHLON,2021,5607,4870,4992,"",Société européenne,Sociétés anonymes,306138900-01294,SIRET number,22 août,,5607,,TRUE,306138900
DELPHARM INDUSTRIE,2022,5571,,,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,815109962-00010,SIRET number,22 août,,5571,,TRUE,815109962
DERICHEBOURG,2023,5921,6043,41337,"",Société Anonyme,Sociétés anonymes,352980601-00046,SIRET number,22 août,,5921,1,TRUE,352980601
EHDH,2021,5423,5241,,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,449430537-00034,SIRET number,22 août,,5423,,TRUE,449430537
ELIOR RESTAURATION FRANCE,2022,,8882,9584,01/2024,SASU,Sociétés à responsabilité limitée,662025196-60347,SIRET number,22 août,,8882,,TRUE,662025196
ERAMET,2023,9167,13764,13373,"",Société Anonyme,Sociétés anonymes,632045381-00068,SIRET number,22 août,,9167,1,TRUE,632045381
ERGALIS FRANCE,2021,,,5604,"",SASU,Sociétés à responsabilité limitée,418108171-01689,SIRET number,22 août,,5604,,TRUE,418108171
FEDEX EXPRESS FR,2023,,,6062,05/2022,SASU,Sociétés à responsabilité limitée,973505357-00275,SIRET number,22 août,,6062,,TRUE,973505357
FINANCIERE FERONIA I,2022,6745,,6249,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,880470646-00022,SIRET number,22 août,,6745,,TRUE,880470646
FINANCIERE SENIOR CINQUS,2022,6745,6327,,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,879556363-00023,SIRET number,22 août,,6745,,TRUE,879556363
FINANCIERE SNOP-DUNOIS,2023,7559,7573,,"",SA directoire,Sociétés anonymes,381904382-00011,SIRET number,22 août,,7559,1,TRUE,381904382
SECHE ENVIRONNEMENT,2023,6169,5715,4667,"",Société Anonyme,Sociétés anonymes,306917535-00024,SIRET number,22 août,,6169,1,TRUE,306917535
SMCP,2023,6820,6525,6091,"",Société Anonyme,Sociétés anonymes,819816943-00024,SIRET number,22 août,,6820,1,TRUE,819816943
SOCIETE DE PARTICIPATION DEAUVILLAISE,2022,7076,5886,,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,382296747-00035,SIRET number,22 août,,7076,,TRUE,382296747
SOCIETE FRANCAISE DU RADIOTELEPHONE - S F R,2022,,5980,6029,"",SA,Sociétés anonymes,343059564-00959,SIRET number,22 août,,5980,,TRUE,343059564
SODEXO ENTREPRISES,2023,,,6415,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,338253230-22013,SIRET number,22 août,,6415,,TRUE,338253230
SODEXO SANTE MEDICO SOCIAL,2023,,,6382,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,338253081-23562,SIRET number,22 août,,6382,,TRUE,338253081
SOGERES,2023,,5696,5924,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,572102176-23476,SIRET number,22 août,,5696,,TRUE,572102176
STRUB,2023,5583,1540,933,06/2024,Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,348741596-00012,SIRET number,22 août,,5583,,TRUE,348741596
SUEZ EAU FRANCE,2022,,,7429,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,410034607-03064,SIRET number,22 août,,7429,,TRUE,410034607
SUPERMARCHES MATCH,2022,,,5007,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,785480351-02271,SIRET number,22 août,,5007,,TRUE,785480351
T2MC,2022,6329,,,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,791372881-00023,SIRET number,22 août,,6329,,TRUE,791372881
TERACT SA,2023,5631,5631,,"",Société Anonyme,Sociétés anonymes,889017018-00025,SIRET number,22 août,,5631,1,TRUE,889017018
THALES AVS FRANCE SAS,2023,5698,5514,5677,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,612039495-00603,SIRET number,22 août,,5698,1,TRUE,612039495
THALES DMS FRANCE SAS,2023,,5296,4942,"",SASU,Sociétés à responsabilité limitée,383475092-00110,SIRET number,22 août,,5296,,TRUE,383475092
THALES LAS FRANCE SAS,2022,6506,,,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,319159877-00111,SIRET number,22 août,,6506,,TRUE,319159877
THALES SIX GTS FRANCE SAS,2022,7188,7066,6999,03/2022,Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,383470937-00194,SIRET number,22 août,,7188,,TRUE,383470937
U-LOGISTIQUE,2023,5880,5808,5750,"",SASU,Sociétés à responsabilité limitée,810146563-00020,SIRET number,22 août,,5880,1,TRUE,810146563
V MANE FILS,2022,7635,6981,,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,415550284-00012,SIRET number,22 août,,7635,,TRUE,415550284
VEOLIA EAU - COMPAGNIE GENERALE DES EAUX,2022,,,7061,"",SCA,Partenariats,572025526-10945,SIRET number,22 août,,7061,,TRUE,572025526
VICAT,2023,9993,9912,9515,"",Société Anonyme,Sociétés anonymes,057505539-00429,SIRET number,22 août,,9993,1,TRUE,057505539
VILMORIN & CIE,2022,7254,7089,7054,08/2023,SA,Sociétés anonymes,377913728-00020,SIRET number,22 août,,7254,,TRUE,377913728
VINCI CONSTRUCTION GRANDS PROJETS,2023,6268,5373,4458,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,343088134-00063,SIRET number,22 août,,6268,1,TRUE,343088134
VIRBAC,2023,5459,5386,5120,"",Société Anonyme,Sociétés anonymes,417350311-00011,SIRET number,22 août,,5459,1,TRUE,417350311
VIVESCIA INDUSTRIES,2023,5832,,5677,"",SCA,Partenariats,344444021-00010,SIRET number,22 août,,5832,,TRUE,344444021
RENAULT RETAIL GROUP,2022,,,7464,"",SA,Sociétés anonymes,312212301-02001,SIRET number,17 juillet,"",7464,,TRUE,312212301
PIERRE FABRE PARTICIPATIONS,2012,9837,9888,,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,504465196-00021,SIRET number,17 juillet,31/12/2012,9837,,TRUE,504465196
ARIANEGROUP SAS,2022,,,7253,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,519032247-00040,SIRET number,17 juillet,"",7253,,TRUE,519032247
SOCOPA VIANDES,2017,5551,5542,5501,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,508513785-00016,SIRET number,17 juillet,31/12/2017,5551,,TRUE,508513785
OREFI ORIENTALE ET FINANCIERE,2022,,5039,,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,399402965-00020,SIRET number,17 juillet,31/12/2021,5039,,TRUE,399402965
ANCIENS ETS G SCHIEVER ET FILS,2022,6215,5863,,"",SA directoire,Sociétés anonymes,425920352-00126,SIRET number,17 juillet,31/12/2022,6215,,TRUE,425920352
ARVAL SERVICE LEASE,2022,8133,7535,,"",SA,Sociétés anonymes,352256424-01410,SIRET number,17 juillet,31/12/2022,8133,,TRUE,352256424
AYVENS,2021,,,6542,"",SA,Sociétés anonymes,417689395-00073,SIRET number,17 juillet,"",6542,,TRUE,417689395
COENTREPRISE DE TRANSPORT D'ELECTRICITE,2022,9010,8863,,"",SA,Sociétés anonymes,529313652-00032,SIRET number,17 juillet,31/12/2022,9010,,TRUE,529313652
HOLDING AND FINANCIAL PARTICIPATION,2022,7255,6385,6451,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,410925473-00036,SIRET number,17 juillet,31/12/2022,7255,,TRUE,410925473
SNF GROUP,2022,7254,6709,6384,"",SA,Sociétés anonymes,312327737-00036,SIRET number,17 juillet,31/12/2022,7254,,TRUE,312327737
COUTIER DEVELOPPEMENT,2022,9405,9661,11191,"",SA directoire,Sociétés anonymes,395006398-00014,SIRET number,17 juillet,31/12/2022,9405,,TRUE,395006398
DEVOTEAM,2021,8991,,,03/2022,Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,402968655-00165,SIRET number,17 juillet,31/12/2021,8991,,TRUE,402968655
WAVESTONE,2023,5894,4406,3732,"",Société Anonyme,Sociétés anonymes,377550249-00041,SIRET number,17 juillet,31/03/2024,5894,,TRUE,377550249
FLUNCH,2012,,,7456,03/2022,Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,320772510-02309,SIRET number,17 juillet,"",7456,,TRUE,320772510
BUFFALO GRILL,2022,,,5288,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,318906443-02868,SIRET number,17 juillet,"",5288,,TRUE,318906443
SAMSIC II,2022,,,7069,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,428685358-00908,SIRET number,17 juillet,"",7069,,TRUE,428685358
FINANCIERE OUI CARE,2022,7279,,,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,834155988-00035,SIRET number,17 juillet,31/12/2022,7279,,TRUE,834155988
SAMSE,2023,6323,6397,6136,"",Société Anonyme,Sociétés anonymes,056502248,SIREN number,22 août,,6323,1,TRUE,056502248
